"","fornitore","numero_dosi","soglia","date"
"213","Pfizer/BioNTech",122,0,2021-07-29
"214","Pfizer/BioNTech",116,0,2021-07-30
"215","Pfizer/BioNTech",8,0,2021-07-31
"216","Pfizer/BioNTech",144,0,2021-08-01
"217","Pfizer/BioNTech",42313,1,2021-08-02
"218","Pfizer/BioNTech",3610,1,2021-08-03
"219","Pfizer/BioNTech",2080359,1,2021-08-04
"220","Pfizer/BioNTech",118,0,2021-08-05
"221","Pfizer/BioNTech",69,0,2021-08-06
"222","Pfizer/BioNTech",5,0,2021-08-07
"223","Pfizer/BioNTech",1,0,2021-08-08
"224","Pfizer/BioNTech",9955,1,2021-08-09
"225","Pfizer/BioNTech",120,0,2021-08-10
"226","Pfizer/BioNTech",2027656,1,2021-08-11
"227","Pfizer/BioNTech",121,0,2021-08-12
"228","Pfizer/BioNTech",26954,1,2021-08-13
"229","Pfizer/BioNTech",3,0,2021-08-14
"230","Pfizer/BioNTech",30,0,2021-08-16
"231","Pfizer/BioNTech",30,0,2021-08-17
"232","Pfizer/BioNTech",3359125,1,2021-08-18
"233","Pfizer/BioNTech",45,0,2021-08-19
"234","Pfizer/BioNTech",23,0,2021-08-20
"235","Pfizer/BioNTech",1,0,2021-08-22
"236","Pfizer/BioNTech",40,0,2021-08-23
"237","Pfizer/BioNTech",50,0,2021-08-24
"238","Pfizer/BioNTech",496045,1,2021-08-25
"239","Pfizer/BioNTech",3018619,1,2021-08-26
"240","Pfizer/BioNTech",78,0,2021-08-27
"241","Pfizer/BioNTech",9,0,2021-08-28
"242","Pfizer/BioNTech",3,0,2021-08-29
"243","Pfizer/BioNTech",56,0,2021-08-30
"244","Pfizer/BioNTech",30,0,2021-08-31
"245","Pfizer/BioNTech",455146,1,2021-09-01
"246","Pfizer/BioNTech",1556201,1,2021-09-02
"247","Pfizer/BioNTech",75,0,2021-09-03
"248","Pfizer/BioNTech",4,0,2021-09-05
"249","Pfizer/BioNTech",47,0,2021-09-06
"250","Pfizer/BioNTech",18,0,2021-09-07
"251","Pfizer/BioNTech",2036984,1,2021-09-08
